title,date,author,link,category,website
"TikTok Uji Coba Watch History, Pengguna Bisa Cek Video yang Pernah Ditonton",30 Maret 2022 17:00 WIB,Agustin Setyo Wardani,https://www.liputan6.com/tekno/read/4925094/tiktok-uji-coba-watch-history-pengguna-bisa-cek-video-yang-pernah-ditonton,biasa,liputan.com
"6 Potret Camillia Laetitia Azzahra, Anak Ridwan Kamil yang Lolos SNMPTN 2022",30 Maret 2022 17:00 WIB,Selma Intania Hafidha,https://hot.liputan6.com/read/4925300/6-potret-camillia-laetitia-azzahra-anak-ridwan-kamil-yang-lolos-snmptn-2022,biasa,liputan.com
"Harga Minyak Goreng Terbang, Imbas Swasta Kuasai Industri CPO",30 Maret 2022 17:00 WIB,Maulandy Rizky Bayu Kencana,https://www.liputan6.com/bisnis/read/4925395/harga-minyak-goreng-terbang-imbas-swasta-kuasai-industri-cpo,biasa,liputan.com
Tangis Ria Ricis Pecah Saat Doakan Sang Jabang Bayi di Acara Syukuran  4 Bulanan Kehamilan,30 Maret 2022 17:00 WIB,Sapto Purnomo,https://www.liputan6.com/showbiz/read/4925249/tangis-ria-ricis-pecah-saat-doakan-sang-jabang-bayi-di-acara-syukuran-4-bulanan-kehamilan,biasa,liputan.com
Babak Baru Kasus Video Perundungan Anak SD di Kota Santri Tasikmalaya,30 Maret 2022 17:00 WIB,Jayadi Supriadin,https://www.liputan6.com/regional/read/4924794/babak-baru-kasus-video-perundungan-anak-sd-di-kota-santri-tasikmalaya,biasa,liputan.com
"Blue Bird Raup Pendapatan Rp 2,2 Triliun pada 2021",30 Maret 2022 16:57 WIB,Agustina Melani,https://www.liputan6.com/saham/read/4925385/blue-bird-raup-pendapatan-rp-22-triliun-pada-2021,biasa,liputan.com
"Menlu Retno Bertemu dengan Menlu Rusia di China, Bahas Apa?",30 Maret 2022 16:53 WIB,Benedikta Miranti T.V,https://www.liputan6.com/global/read/4925372/menlu-retno-bertemu-dengan-menlu-rusia-di-china-bahas-apa,biasa,liputan.com
"Instansi adalah Lembaga Umum, Ketahui Jenis dan Contohnya",30 Maret 2022 16:50 WIB,Anugerah Ayu Sendari,https://hot.liputan6.com/read/4925290/instansi-adalah-lembaga-umum-ketahui-jenis-dan-contohnya,biasa,liputan.com
"Rasio kewirausahaan di Indonesia Baru 3,47 Persen",30 Maret 2022 16:50 WIB,Liputan6.com,https://www.liputan6.com/bisnis/read/4925383/rasio-kewirausahaan-di-indonesia-baru-347-persen,biasa,liputan.com
"7 Cara Membuat Capcay Goreng yang Gurih dan Lezat, Ala Resto Chinese Food",30 Maret 2022 16:40 WIB,Ayu Rifka Sitoresmi,https://hot.liputan6.com/read/4925236/7-cara-membuat-capcay-goreng-yang-gurih-dan-lezat-ala-resto-chinese-food,biasa,liputan.com
Erick Thohir Minta Startup Indonesia tingkatkan Kompetensi SDM,30 Maret 2022 16:40 WIB,Tira Santia,https://www.liputan6.com/bisnis/read/4925363/erick-thohir-minta-startup-indonesia-tingkatkan-kompetensi-sdm,biasa,liputan.com
Ketua KPK Pastikan Akan Dalami Aliran Uang Suap Bupati PPU ke Andi Arief,30 Maret 2022 16:32 WIB,Delvira Hutabarat,https://www.liputan6.com/news/read/4925364/ketua-kpk-pastikan-akan-dalami-aliran-uang-suap-bupati-ppu-ke-andi-arief,biasa,liputan.com
"Kode Redeem Genshin Impact Terbaru 30 Maret 2022, Segera Klaim",30 Maret 2022 16:30 WIB,Giovani Dio Prasasti,https://www.liputan6.com/tekno/read/4925303/kode-redeem-genshin-impact-terbaru-30-maret-2022-segera-klaim,biasa,liputan.com
8 Aplikasi Cek Jadwal Buka Puasa dan Imsakiyah Selama Ramadhan,30 Maret 2022 16:30 WIB,Laudia Tysara,https://hot.liputan6.com/read/4925228/8-aplikasi-cek-jadwal-buka-puasa-dan-imsakiyah-selama-ramadhan,biasa,liputan.com
Kemenkop Minta UMKM Kuliner Serbu e-Katalog LKPP,30 Maret 2022 16:30 WIB,Liputan6.com,https://www.liputan6.com/bisnis/read/4925357/kemenkop-minta-umkm-kuliner-serbu-e-katalog-lkpp,biasa,liputan.com
