Tanggal : 29-04-2022 04:43:20 | Waktu Scraping Liputan6.com : 54.66953086853027 detik | Banyak row : 80 | Banyak column : 7 
Tanggal : 29-04-2022 04:43:20 | Waktu Scraping Tribunnews.com : 4.92710542678833 detik | Banyak row : 59 | Banyak column : 7 
Tanggal : 29-04-2022 04:43:20 | Waktu Scraping Detik.com : 104.47637963294983 detik | Banyak row : 51 | Banyak column : 7 
Tanggal : 29-04-2022 04:43:20 | Waktu Scraping Total Waktu Scraping Ketiga Website : 164.07301592826843 detik | Banyak row : 190 | Banyak column : 7.0 
Tanggal : 29-04-2022 05:43:23 | Waktu Scraping Liputan6.com : 54.52971959114075 detik | Banyak row : 79 | Banyak column : 7 
Tanggal : 29-04-2022 05:43:23 | Waktu Scraping Tribunnews.com : 4.989521026611328 detik | Banyak row : 58 | Banyak column : 7 
Tanggal : 29-04-2022 05:43:23 | Waktu Scraping Detik.com : 114.6423008441925 detik | Banyak row : 47 | Banyak column : 7 
Tanggal : 29-04-2022 05:43:23 | Waktu Scraping Total Waktu Scraping Ketiga Website : 174.16154146194458 detik | Banyak row : 184 | Banyak column : 7.0 
Tanggal : 29-04-2022 06:43:26 | Waktu Scraping Liputan6.com : 53.81436204910278 detik | Banyak row : 77 | Banyak column : 7 
Tanggal : 29-04-2022 06:43:26 | Waktu Scraping Tribunnews.com : 5.067552328109741 detik | Banyak row : 58 | Banyak column : 7 
Tanggal : 29-04-2022 06:43:26 | Waktu Scraping Detik.com : 99.0509033203125 detik | Banyak row : 49 | Banyak column : 7 
Tanggal : 29-04-2022 06:43:26 | Waktu Scraping Total Waktu Scraping Ketiga Website : 157.93281769752502 detik | Banyak row : 184 | Banyak column : 7.0 
Tanggal : 29-04-2022 07:43:28 | Waktu Scraping Liputan6.com : 50.91023921966553 detik | Banyak row : 73 | Banyak column : 7 
Tanggal : 29-04-2022 07:43:28 | Waktu Scraping Tribunnews.com : 4.964378595352173 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 29-04-2022 07:43:28 | Waktu Scraping Detik.com : 107.08167719841003 detik | Banyak row : 50 | Banyak column : 7 
Tanggal : 29-04-2022 07:43:28 | Waktu Scraping Total Waktu Scraping Ketiga Website : 162.95629501342773 detik | Banyak row : 184 | Banyak column : 7.0 
Tanggal : 29-04-2022 08:43:30 | Waktu Scraping Liputan6.com : 52.48696994781494 detik | Banyak row : 73 | Banyak column : 7 
Tanggal : 29-04-2022 08:43:30 | Waktu Scraping Tribunnews.com : 4.925218105316162 detik | Banyak row : 60 | Banyak column : 7 
Tanggal : 29-04-2022 08:43:30 | Waktu Scraping Detik.com : 105.20241641998291 detik | Banyak row : 49 | Banyak column : 7 
Tanggal : 29-04-2022 08:43:30 | Waktu Scraping Total Waktu Scraping Ketiga Website : 162.614604473114 detik | Banyak row : 182 | Banyak column : 7.0 
Tanggal : 29-04-2022 09:43:32 | Waktu Scraping Liputan6.com : 55.156352519989014 detik | Banyak row : 77 | Banyak column : 7 
Tanggal : 29-04-2022 09:43:32 | Waktu Scraping Tribunnews.com : 5.821184158325195 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 29-04-2022 09:43:32 | Waktu Scraping Detik.com : 103.67943215370178 detik | Banyak row : 49 | Banyak column : 7 
Tanggal : 29-04-2022 09:43:32 | Waktu Scraping Total Waktu Scraping Ketiga Website : 164.656968832016 detik | Banyak row : 187 | Banyak column : 7.0 
Tanggal : 29-04-2022 10:43:35 | Waktu Scraping Liputan6.com : 67.34273672103882 detik | Banyak row : 83 | Banyak column : 7 
