Tanggal : 27-04-2022 17:42:14 | Waktu Scraping Liputan6.com : 95.11359024047852 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 27-04-2022 17:42:14 | Waktu Scraping Tribunnews.com : 5.069854021072388 detik | Banyak row : 59 | Banyak column : 7 
Tanggal : 27-04-2022 17:42:14 | Waktu Scraping Detik.com : 111.42982220649719 detik | Banyak row : 40 | Banyak column : 7 
Tanggal : 27-04-2022 17:42:14 | Waktu Scraping Total Waktu Scraping Ketiga Website : 211.6132664680481 detik | Banyak row : 183 | Banyak column : 7.0 
Tanggal : 27-04-2022 18:42:15 | Waktu Scraping Liputan6.com : 58.27759623527527 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 27-04-2022 18:42:15 | Waktu Scraping Tribunnews.com : 5.765882730484009 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 27-04-2022 18:42:15 | Waktu Scraping Detik.com : 111.83807063102722 detik | Banyak row : 42 | Banyak column : 7 
Tanggal : 27-04-2022 18:42:15 | Waktu Scraping Total Waktu Scraping Ketiga Website : 175.8815495967865 detik | Banyak row : 187 | Banyak column : 7.0 
Tanggal : 27-04-2022 19:42:16 | Waktu Scraping Liputan6.com : 59.39344263076782 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 27-04-2022 19:42:16 | Waktu Scraping Tribunnews.com : 5.556791305541992 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 27-04-2022 19:42:16 | Waktu Scraping Detik.com : 107.16976737976074 detik | Banyak row : 43 | Banyak column : 7 
Tanggal : 27-04-2022 19:42:16 | Waktu Scraping Total Waktu Scraping Ketiga Website : 172.12000131607056 detik | Banyak row : 188 | Banyak column : 7.0 
Tanggal : 27-04-2022 20:42:18 | Waktu Scraping Liputan6.com : 56.950987100601196 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 27-04-2022 20:42:18 | Waktu Scraping Tribunnews.com : 5.815721035003662 detik | Banyak row : 52 | Banyak column : 7 
Tanggal : 27-04-2022 20:42:18 | Waktu Scraping Detik.com : 107.69180703163147 detik | Banyak row : 47 | Banyak column : 7 
Tanggal : 27-04-2022 20:42:18 | Waktu Scraping Total Waktu Scraping Ketiga Website : 170.45851516723633 detik | Banyak row : 183 | Banyak column : 7.0 
Tanggal : 27-04-2022 21:42:20 | Waktu Scraping Liputan6.com : 61.28351974487305 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 27-04-2022 21:42:20 | Waktu Scraping Tribunnews.com : 5.075005531311035 detik | Banyak row : 52 | Banyak column : 7 
Tanggal : 27-04-2022 21:42:20 | Waktu Scraping Detik.com : 106.18116283416748 detik | Banyak row : 41 | Banyak column : 7 
Tanggal : 27-04-2022 21:42:20 | Waktu Scraping Total Waktu Scraping Ketiga Website : 172.53968811035156 detik | Banyak row : 177 | Banyak column : 7.0 
Tanggal : 27-04-2022 22:42:20 | Waktu Scraping Liputan6.com : 123.56394624710083 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 27-04-2022 22:42:20 | Waktu Scraping Tribunnews.com : 5.187887668609619 detik | Banyak row : 48 | Banyak column : 7 
Tanggal : 27-04-2022 22:42:20 | Waktu Scraping Detik.com : 100.59739398956299 detik | Banyak row : 42 | Banyak column : 7 
Tanggal : 27-04-2022 22:42:20 | Waktu Scraping Total Waktu Scraping Ketiga Website : 229.34922790527344 detik | Banyak row : 173 | Banyak column : 7.0 
Tanggal : 27-04-2022 23:42:21 | Waktu Scraping Liputan6.com : 62.9598913192749 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 27-04-2022 23:42:21 | Waktu Scraping Tribunnews.com : 5.08939003944397 detik | Banyak row : 60 | Banyak column : 7 
