Tanggal : 26-04-2022 17:41:33 | Waktu Scraping Liputan6.com : 60.64752244949341 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 26-04-2022 17:41:33 | Waktu Scraping Tribunnews.com : 5.185046195983887 detik | Banyak row : 57 | Banyak column : 7 
Tanggal : 26-04-2022 17:41:33 | Waktu Scraping Detik.com : 102.95306253433228 detik | Banyak row : 43 | Banyak column : 7 
Tanggal : 26-04-2022 17:41:33 | Waktu Scraping Total Waktu Scraping Ketiga Website : 168.78563117980957 detik | Banyak row : 183 | Banyak column : 7.0 
Tanggal : 26-04-2022 18:41:35 | Waktu Scraping Liputan6.com : 65.19692993164062 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 26-04-2022 18:41:35 | Waktu Scraping Tribunnews.com : 5.043942213058472 detik | Banyak row : 59 | Banyak column : 7 
Tanggal : 26-04-2022 18:41:35 | Waktu Scraping Detik.com : 100.83639550209045 detik | Banyak row : 43 | Banyak column : 7 
Tanggal : 26-04-2022 18:41:35 | Waktu Scraping Total Waktu Scraping Ketiga Website : 171.07726764678955 detik | Banyak row : 185 | Banyak column : 7.0 
Tanggal : 26-04-2022 19:41:53 | Waktu Scraping Liputan6.com : 58.70136857032776 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 26-04-2022 19:41:53 | Waktu Scraping Tribunnews.com : 5.204202651977539 detik | Banyak row : 60 | Banyak column : 7 
Tanggal : 26-04-2022 19:41:53 | Waktu Scraping Detik.com : 99.66993713378906 detik | Banyak row : 44 | Banyak column : 7 
Tanggal : 26-04-2022 19:41:53 | Waktu Scraping Total Waktu Scraping Ketiga Website : 163.57550835609436 detik | Banyak row : 187 | Banyak column : 7.0 
Tanggal : 26-04-2022 20:41:38 | Waktu Scraping Liputan6.com : 56.55072736740112 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 26-04-2022 20:41:38 | Waktu Scraping Tribunnews.com : 6.338207244873047 detik | Banyak row : 51 | Banyak column : 7 
Tanggal : 26-04-2022 20:41:38 | Waktu Scraping Detik.com : 102.1911268234253 detik | Banyak row : 42 | Banyak column : 7 
Tanggal : 26-04-2022 20:41:38 | Waktu Scraping Total Waktu Scraping Ketiga Website : 165.08006143569946 detik | Banyak row : 177 | Banyak column : 7.0 
Tanggal : 26-04-2022 21:41:55 | Waktu Scraping Liputan6.com : 57.478126764297485 detik | Banyak row : 84 | Banyak column : 7 
