Tanggal : 29-04-2022 17:43:51 | Waktu Scraping Liputan6.com : 63.11934423446655 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 29-04-2022 17:43:51 | Waktu Scraping Tribunnews.com : 5.372509956359863 detik | Banyak row : 62 | Banyak column : 7 
Tanggal : 29-04-2022 17:43:51 | Waktu Scraping Detik.com : 62.25053548812866 detik | Banyak row : 29 | Banyak column : 7 
Tanggal : 29-04-2022 17:43:51 | Waktu Scraping Total Waktu Scraping Ketiga Website : 130.74238967895508 detik | Banyak row : 175 | Banyak column : 7.0 
Tanggal : 29-04-2022 18:43:53 | Waktu Scraping Liputan6.com : 64.3029522895813 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 29-04-2022 18:43:53 | Waktu Scraping Tribunnews.com : 5.180570363998413 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 29-04-2022 18:43:53 | Waktu Scraping Detik.com : 105.8719630241394 detik | Banyak row : 45 | Banyak column : 7 
Tanggal : 29-04-2022 18:43:53 | Waktu Scraping Total Waktu Scraping Ketiga Website : 175.35548567771912 detik | Banyak row : 190 | Banyak column : 7.0 
Tanggal : 29-04-2022 19:43:55 | Waktu Scraping Liputan6.com : 59.922452449798584 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 29-04-2022 19:43:55 | Waktu Scraping Tribunnews.com : 5.22492241859436 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 29-04-2022 19:43:55 | Waktu Scraping Detik.com : 104.04661870002747 detik | Banyak row : 43 | Banyak column : 7 
Tanggal : 29-04-2022 19:43:55 | Waktu Scraping Total Waktu Scraping Ketiga Website : 169.1939935684204 detik | Banyak row : 188 | Banyak column : 7.0 
Tanggal : 29-04-2022 20:44:00 | Waktu Scraping Liputan6.com : 67.89312076568604 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 29-04-2022 20:44:00 | Waktu Scraping Tribunnews.com : 5.092098712921143 detik | Banyak row : 52 | Banyak column : 7 
Tanggal : 29-04-2022 20:44:00 | Waktu Scraping Detik.com : 104.52876782417297 detik | Banyak row : 39 | Banyak column : 7 
Tanggal : 29-04-2022 20:44:00 | Waktu Scraping Total Waktu Scraping Ketiga Website : 177.51398730278015 detik | Banyak row : 175 | Banyak column : 7.0 
Tanggal : 29-04-2022 21:44:01 | Waktu Scraping Liputan6.com : 65.44301271438599 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 29-04-2022 21:44:01 | Waktu Scraping Tribunnews.com : 4.986665964126587 detik | Banyak row : 46 | Banyak column : 7 
Tanggal : 29-04-2022 21:44:01 | Waktu Scraping Detik.com : 104.7930998802185 detik | Banyak row : 37 | Banyak column : 7 
Tanggal : 29-04-2022 21:44:01 | Waktu Scraping Total Waktu Scraping Ketiga Website : 175.22277855873108 detik | Banyak row : 167 | Banyak column : 7.0 
Tanggal : 29-04-2022 22:44:02 | Waktu Scraping Liputan6.com : 57.968268632888794 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 29-04-2022 22:44:02 | Waktu Scraping Tribunnews.com : 5.0545432567596436 detik | Banyak row : 46 | Banyak column : 7 
